Tweet,Label
i love people who think everything revolves around them and their schedule,0
"@ me though RT USER Man, remember when everyone was all Im doing Insanity"" and after about two weeks we aint heard shit back from them?",0
£22mil for Jooao Moutinho. No value in the market .,0
"Hang on, this isn't my cat..",0
Found this on Sunday. Made me laugh!! Clever people URL,0
USER after last night I feel much closer to you because I talked to you like I talk to own Ships,0
great to have swollen sore tonsils for the {number} time this year cos when they're normal i miss them and i love taking antibiotics,0
i just love coming home everynight to everyone drunk fucked up on pills and high,0
My beautiful Boo getting snuggi cozi x URL,0
What do gay people eat? Food.,0
i love protein shakes so much,0
USER what does she do other than do shit adverts aimed at people who wrinkle,0
The way that dustbin man just spat was so attractive #Omg #BeMine #Hotstuff #Wink #Vile,0
"Call me a masochist, but I really wish my classes were harder. I cant wait for cellular microbiology and ethnobotany next semester",0
don't you just love jerks :),0
i love people who ask stupid questions,0
Just looking at my Chrome search bar history. I've googled some weird shit,0
i still love everything waiting for the return but not really #love,0
you're my kryptonitee!<3 RT als je details in thread herkent ((one direction),0
i love calling someone just for them to act like i'm a complete nuissance,0
You jogging ah? No la i dancing *started dancing*,0
Graphics and maths next - yay!,0
Your relationship just ended which means your life ended too!,0
tomorrow will be so fun i love seeing couples kiss and make out and drool all over each other in the hallways,0
espn is disapionted that they didnt get the #CFL game tonight. it is monday night after all #mnf,0
Dad just said he reckons I should audition for xfactor #sosupportive,0
Went to the beach today! The water was SO warm! #englishsummer #imstubborn.,0
No Mom. I don't want to do your errands -_-,0
"USER funny when Dermot says to you about 3 days into the course ""0h is your boyfriend a manager lol",0
absolutely love getting head butted when trying to make an arrest,0
Monitoring the hashtag #PhTrenchQuake stay safe follow orders please,0
I have seen way to much of USER lately ? hahahaha! ?,0
i love having everything fall apart #funstuff,0
"Neighbours come round2say they are away for2weeks! I reply ""do you want me to put bins out?Oh no you leave them out all week anyway!""",0
"USER joking.. Marois is dumb, didnt get the ?",0
"USER yes, I am. Time to finish what I started.. Btw, you have to meet my lady, she get funnier by the day.",0
i love forgetting something then it comes back to you at the last minute #damnit,0
#nowplaying The Unforgettable Fire - you too <33 I love Radio Veronica :-) #memories,0
bio {number} test tomorrow then csi test wednesday and juvenile delinquency test wednesday too good thing i love taking tests,0
they need too more likes c'monn URL,0
This is why I want to drive myself! Shuttle takes forever !!,0
"USER Mhmm, maybe Theo will have a 30 goal season",0
Hope you're happy. #thanksforeverything,0
The girl next to me smells like pancakes. #tease,0
Where is the franchise mode in madden ?,0
USER yes. I wear them to work,0
i just love people sooo much,0
i just love college it's so easy and entertaining,0
"Cause I can't stay here, if there's no love. #onrepeat #",0
USER oh my god haha!! Poor you haha no you can be dirty #bintheed,0
gotta love people that call me a freak d,0
i just love having cigarette smoke blown in my face,0
My hair was long assface ! URL,0
Don't miss these auction bargains going on right this minute- URL ->RT & Share!,0
just tried to call & cancel my service & keep internet only turns out my bill would go up gotta love cable companies,0
She ready to minglee . . . .hahahaa >> guys follow her --> USER,0
i just love coming home from school and cleaning and then doing college shit,0
Could this get any better?,0
"I believe in better days, that's why I pray",0
What a range of beer! Maybe I'll order this and travel with my tastebuds! URL #lolz,0
i love hoe it can snow all damn day and bitch hunt accumulates in raleigh,0
Anit no question if I want it I need it!!,0
I don't know what to do with my life besides get high and make music,0
School soon. Great. How I missed seeing your face.,0
"Starting my #cleanse today! No dairy, meat, sugar, sweets, and coffe! Living off of veggies, fish, and green juices for a whole week.",0
Ron Paul gave the #GOP the cold shoulder?? You don't say.. I'm shocked.,0
"Yep, you're right. #ihatepeople",0
Love an on field argument with USER #fuckoffyoucunt #youfuckoff #niceheader #nicekick,0
i love mentioning something for my health not for something to be done about it nope not at all -_-,0
Looks like I'm going to need to be investing in some big sweaters for fall. ass hole darn!,0
"I must go like a page for me to look like internal server error a batty lord, just for one girl i don't know to get hair? vell chap my leg off and call me shorty",0
USER #KeepCalmAndLoveTrain #TrainIsTheMostIncredibleBandEver #WeLoveTrain URL,0
Didnt see that coming RT USER Allen Pinkett will not be part of #NotreDame radio broadcast this weekend.,0
no one's in my homeroom fml.,0
i just love coming home to an empty house,0
i love coming home to a completely trashed house that was sparkling clean when i left {number} days ago whilst dying of exhaustion,0
"USER USER If there is any proof or facts behind it, they have been covered up by the Illuminati",0
"So you know its real,",0
got a text pretty much saying the entire uk basketball team is going pro gotta love college sports,0
Will missing in action from Internet when out because 2g exceelaughing out loud lol using wifi now :x stupid Singtel,0
"someone who speaks of something that complete opposite of what he means, . correct me if i'm wrong again.",0
I'm too immature to be a senior,0
absolutely love prank calls yeah you're cool,0
USER not at all never they come out here. & lmaoo yupp! bit torrent i heard its fuckid thoughfck out there tho ?,0
i chose brown sugar mini wheats,0
If my dad had just LET me be an athlete ..life would be so much easier .,0
just because i'm eating chocolate and watching a sappy love movie doesn't mean something is wrong #ohwait,0
don't we just love prawn rolls #cny,0
Technology KKR to invest $1.27 billion in Japan's Renesas: Nikkei (Reuters): Share With F.. URL : URL,0
USER nope!,0
USER and what's that good thing?? Congrats!! lols,0
"I love that Joey Barton quote ""For some reason the Manager dislikes me"". Unbelievable. How can anyone dislike Joey Barton??",0
Great day at the open! URL,0
i just love doing nothing on friday night,0
Jersey shore us canceled? #SoSad,0
Get to work on my last day in Appleton! #YeaahBudy,0
"Goodnight Mama.?? I love you & miss you so much.? I wish you were here, but I'm staying strong for you.? Sweet dreams, see you soon.?7?",0
Why does everyone on twitter believe we are in for a late bid to get Moutinho!? A Russian link! Remember SAF just confirmed he won't sign.,0
gotta love payday where you dont actually get paid cuss you havn't worked at all #ghettolife #nohours #hobolife # {number},0
let me tell you how much i love liars they're the best,0
That's awesome ?,0
My head hurt.,0
gotta love doctors #ugh #remindmeagainwhyiwanttobeone,0
Let's save org utan in indonesia. They need your protect from anybody who didn't care about them. #indonesia,0
USER I feel bad for those kids,0
USER I'm super excited for tomorrow morning.,0
watching an old love movie my brothers reaction that is so damn sweet #hilarious,0
tech fail we should've made a journo #mbbudget bingo rt i love technology love it,0
"Jake is pretty picky about his pears.. but don't worry, there are a few left for you at Cottin's Hardware.. URL",0
i love talking politics with people who have no common sense,0
USER Klh breakfast in bed :p,0
i love nose bleeds have to be the best thing in the world i get to stick toilet paper up my nose,0
just gotta love people sometimes,0
"USER what, Ant Farm doesn't do it for you??",0
I'm still standing yesterday today and forever. That's why we praise Him. #sundaylineupmakessense,0
"Dang, I also just remembered, I have bills to pay",0
USER We're told Swansea and Manchester City unable to reach agreement on Scott Sinclair. What.a.shame.,0
i love having quizzes that are only {number} questions because there is sooo much room for error,0
USER did you wash your practice jersey too?,0
USER maybe the pirates will pick him up?,0
I love seeing Pretty People?,0
USER you are,0
USER lookin forward to satday as well nothin quite like a 5.20 kick off,0
"never been so tired in all my life:( and the rain just got heavier as I left , great!",0
up here at tc bored but handling my business ohh i just love have responsibilities,0
i love homework #not #hateit,0
"Going to school again tomorrow. School nalng everyday, even saturdays because i love school!",0
gettin glares from people who hate you and they have no right to or if they do i have no idea why gotta love drama,0
USER yaay *Insert 'always look on the bright side of life' joke here* :P,0
USER He seems a really nice guy,0
i love getting replies from a text {number} minutes later #don'tbothertalkingtome,0
i love physics and algebra {number},0
wooo how i love family days -_-,0
"I was 1A* off being allowed in the academic academy, oh shame!",0
i love getting attitude from a coworker at {number} {number} am on a sat morning,0
i absolutely love fixing plumbing garbage around the house on the weekends not,0
Neway let me pray and put GOD? first!,0
"USER lol! Can't wait to read the complaints of how you need more sleep.in case you can't tell, yes that is",0
"Woke up at 1 thinking that I had seen a huge spider in my bed, 15 minutes later, I get bitten and it still hurts now! #notsleepingtonight",0
Day 1 of college classes #soexcited,0
USER oh. Wonderful #unhealthy,0
hmph O__o,0
I feel so alive right now .. Sorry to those with hangovers ..,0
#voteonedirection,0
USER hahaha mann gota have his slices yoo!,0
i love school on a day like this #nothingbetter,0
actually love people who ignore me its makes me well happy,0
USER is always full of life. . at McDonald's URL,0
Late nights early mornings,0
i just love rumors i find stuff out about myself that i didnt even know,0
USER & you didn't think to invite Myles no? I see how it is :(,0
"Maryland absolutely, positively did the right thing not honoring James Franklin's ""Head Coach In Waiting"" status.",0
USER I find it funny rather than offensive.,0
i love people who will do anything to get attention love them love them,0
USER okay good. ?,0
"LOL, you're not ignoring me tho? silly boy. ?",0
USER don't call that # back,0
i love getting phone calls when i'm trying to take a nap #shreepin #cranky,0
you just gotta love homework,0
i love news that disappoints you,0
it seems that facebook has become the new place for love letter #soromantic,0
"Melanie runs a succesful task analysis back to work programme, supporting and enabling injured staff to remain at work or return to work.",0
i love drinking coffee that tastes like water,0
They outcheaa,0
rushing to get everything gathered to go to kansas city i love weekend classes,0
I think we don't have school tomorrow.,0
AP Government is the most exciting class I've ever taken! ? #NotesOnNotesOnotes,0
"I'm sorry this made me laugh, great advice there girlfriend doctor #whateven URL",0
it's nice and sunny and i'm going to a uni open day love life if nobody got,0
i love squished sandwiches #myfavorite,0
basically this sums up the constant attack my eyes went under and why i love contact lenses,0
i love getting cupcakes shoved in my face #yum,0
Away to bed,0
oh good glad to see there's another iphone game that people love posting screenshots of all over my facebook wall excellent news,0
Closing shift after a good dinner and hanging with my best friends.. going to have a good night. (@ Target) URL,0
"Sagol Please, I eat with my hands! Thanks to Asif Haider for sharing. URL",0
no sleep then i love chores,0
going on a brewery tour tonight can't fucking wait love drinking beer and going out with old blokes it's going to be awesome,0
i love people who don't text me back when i want to talk to them -_-,0
i love seeing advertisements for my place of employment on my weekend off,0
USER with those sexy white knickers #sexy,0
Of course our three day weekend would be full of rain,0
USER it's mint,0
i love doing dishes at work,0
", Lls RayRay Got Cauqht in the Rain .",0
i love making sandwiches and cutting up fruit just to have it thrown all over the floor and not eaten #mummytweet,0
What!! Qua go head family lol,0
We now have in stock the Norman Hyde Center Stand for the Scrambler!! URL,0
i absolutely love doing homework on weekends #fml #somuchshittodotoday,0
terrible stomach ache not sure if it's the downtowner wendy's or arby's gotta love competition days #fb,0
oh i jus love coming home to notes from my maid,0
i just love mornings in my house,0
This pain and hurt is unbearable but I know I have to keep going. Somehow but I have to do it.,0
oh my god i just love today like seriously it could not get any better #not #suckmydick,0
almost got ran over today while crossing the street with the walk sign i love people,0
"USER We Would Have!! me, you, dom, andd what was the name of the glee kid we were going to meet?!",0
USER wow you followed me,0
every time i sneeze it's like getting sucker punched in the ribs gotta love tendon injuries #notreally,0
A chilled night is on the cards I think.,0
#nowplaying Immortal Technique - That's What It Is.,0
i love friends who only come around when they need something #bffs,0
i have not spent most of my day reading kato love confessions,0
Woo! So excited! first day of school!,0
USER keep doing this hash tag #voteonedirection and they will win :P,0
Watering the grass as its raining. Smart! #sdsuprobs,0
woman in Lidl who is just like bobby from towie haha,0
i love match of the day #loljoke,0
So excited for work todayy,0
USER USER he he he! This is going to be fun! My dads slippers it is!,0
"USER *SPOILER* No she was naked when they kissed at the beginning, but wearing a shirt when they were talking..",0
Sudah sudah RT USER USER follbeck ?? yaa thanks (??),0
mmmm cold fish & chips are the best i love retail and the fact it never stops even during your lunch hour #retailneverstops,0
Fina hit his people up got to make sure sstraightstr8 bbl,0
youtube to stream london summer paralympics live URL,0
Kungfu panda ciee --> RT USER Waiki opo -_- RT Andinedam: mirip afika ? -__- RT USER (cont) URL,0
funny how twitter services aren't available on twitter for bb but ubersocial is working love phone issues honest,0
i just love paper cuts especially in my eye,0
I love how the iPhone tells you when someone read your text,0
got to love people who react of the tiny little thing,0
i just love clinicals at this time of day,0
You are attracted to a wide variety of new ideas during this t.. More for Capricorn URL,0
i love drama in {number} grade no but seriously that was uncalled,0
USER somes God`s greatest gifts are unanswered prayers.,0
My ob is just so fucking helpful it isnt funny!,0
i love notes #wait #history #hashtags,0
?? ?? ?? II-? ?? ?? ?? ?? 15-? ?? ?? ? ? ?? ?? ?? ?? ? ?? ?? ?? ?? ?? ? ??,0
i love checking references #recruitment,0
USER MEOW,0
i love writing essays #sotired,0
"USER oh no, what happened? :(",0
"Fandango my mandingo, we should do a movie",0
yay english homework d love writting paragraphs,0
all my love tweets are actually about #hateher,0
So glad my first time ever going to the beach will be when I go to boot camp.,0
i absolutely love buying petrol,0
